CAUSA_DEF,2015,2016,2017,2018,2019,2020,2021,2022,2023
A850,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
A851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A86X,152.0,149.0,132.0,136.0,156.0,126.0,130.0,126.0,116.0
A872,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A879,11.0,12.0,13.0,11.0,9.0,10.0,17.0,15.0,15.0
A880,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
A888,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A89X,1.0,0.0,1.0,2.0,2.0,5.0,7.0,2.0,5.0
A90X,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
A91X,96.0,46.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
A920,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A928,11.0,15.0,2.0,6.0,5.0,2.0,0.0,2.0,0.0
A929,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
A938,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A94X,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A970,0.0,0.0,0.0,6.0,7.0,37.0,7.0,5.0,8.0
A971,0.0,0.0,0.0,3.0,17.0,68.0,16.0,16.0,40.0
A972,0.0,0.0,0.0,30.0,340.0,164.0,57.0,86.0,439.0
A979,0.0,0.0,0.0,22.0,30.0,148.0,28.0,17.0,53.0
A99X,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
B001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B002,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
B003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B004,4.0,6.0,4.0,7.0,13.0,10.0,10.0,6.0,5.0
B005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B007,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
B008,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
B009,8.0,3.0,7.0,4.0,1.0,2.0,2.0,2.0,0.0
B010,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
B011,1.0,4.0,7.0,6.0,2.0,1.0,1.0,1.0,3.0
B012,15.0,14.0,14.0,15.0,19.0,7.0,2.0,3.0,10.0
B018,9.0,4.0,10.0,6.0,6.0,2.0,1.0,2.0,5.0
B019,40.0,35.0,26.0,16.0,25.0,12.0,1.0,2.0,7.0
B020,0.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,6.0
B021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B022,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0
B023,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
B027,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0
B028,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0
B029,27.0,30.0,15.0,17.0,15.0,19.0,21.0,19.0,16.0
B04X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0
B083,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B09X,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0
B150,13.0,7.0,6.0,8.0,13.0,17.0,12.0,15.0,27.0
B159,9.0,28.0,25.0,24.0,23.0,32.0,37.0,47.0,52.0
B160,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B161,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B162,30.0,13.0,12.0,12.0,17.0,9.0,14.0,10.0,7.0
B169,45.0,60.0,47.0,32.0,30.0,27.0,36.0,40.0,34.0
B170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
B171,8.0,9.0,3.0,52.0,50.0,32.0,44.0,59.0,46.0
B172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B178,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
B179,42.0,59.0,54.0,60.0,56.0,52.0,69.0,103.0,82.0
B180,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B181,47.0,36.0,12.0,78.0,46.0,49.0,62.0,30.0,35.0
B182,790.0,847.0,470.0,723.0,639.0,577.0,507.0,390.0,362.0
B188,0.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0
B189,4.0,12.0,11.0,25.0,19.0,27.0,26.0,10.0,15.0
B190,48.0,18.0,15.0,19.0,18.0,17.0,17.0,16.0,9.0
B199,96.0,105.0,83.0,88.0,95.0,55.0,65.0,55.0,47.0
B200,413.0,407.0,397.0,488.0,463.0,379.0,465.0,537.0,480.0
B201,147.0,185.0,151.0,117.0,140.0,91.0,139.0,203.0,331.0
B202,9.0,7.0,13.0,17.0,6.0,11.0,13.0,6.0,15.0
B203,47.0,65.0,39.0,37.0,65.0,54.0,81.0,98.0,75.0
B204,14.0,16.0,20.0,11.0,20.0,16.0,17.0,23.0,14.0
B205,66.0,83.0,99.0,89.0,92.0,72.0,93.0,81.0,100.0
B206,218.0,232.0,155.0,252.0,259.0,130.0,189.0,185.0,205.0
B207,266.0,264.0,259.0,259.0,255.0,170.0,191.0,189.0,207.0
B208,1504.0,1419.0,1452.0,1568.0,1779.0,1154.0,1296.0,1461.0,1474.0
B209,85.0,189.0,265.0,194.0,161.0,111.0,174.0,148.0,185.0
